City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bima,79,ID,1578282998,61,-8.45,118.73,86.61,3.51
1,Bambous Virieux,75,MU,1578282772,94,-20.34,57.76,75.99,12.75
2,Jamestown,82,AU,1578283000,55,-33.21,138.6,73.4,0.31
3,Irbeyskoye,100,RU,1578283001,86,55.64,95.45,25.48,3.58
4,Lykhivka,92,UA,1578283002,93,48.69,33.92,31.57,9.28
5,Salym,100,RU,1578283004,93,60.06,71.48,20.86,9.48
6,Puerto Ayora,0,EC,1578283005,81,-0.74,-90.35,75.99,4
7,Provideniya,83,RU,1578283006,72,64.42,-173.23,-11.09,8.1
8,Nabire,86,ID,1578283007,58,-3.36,135.5,88.97,4.41
9,Mataura,100,NZ,1578283017,87,-46.19,168.86,48.99,23
10,Rikitea,52,PF,1578283018,76,-23.12,-134.97,76.28,16.04
11,Vanimo,100,PG,1578283019,74,-2.67,141.3,82.02,8.37
12,Atuona,63,PF,1578283020,78,-9.8,-139.03,79.9,10.71
13,Sidrolandia,0,BR,1578283021,69,-20.93,-54.96,75.2,6.93
14,Airai,100,TL,1578283022,53,-8.93,125.41,81.5,4.97
15,Punta Arenas,75,CL,1578283024,65,-53.16,-70.91,44.6,6.93
16,Ushuaia,75,AR,1578282943,75,-54.81,-68.31,46.4,24.16
17,Hilo,90,US,1578282753,78,19.71,-155.08,73.4,4.7
18,Victoria,75,BN,1578283027,58,5.28,115.24,87.8,5.82
19,Busselton,23,AU,1578283029,9,-33.64,115.35,91.99,11.43
20,Haines Junction,100,CA,1578283030,98,60.75,-137.51,-3.01,4.85
21,Hithadhoo,100,MV,1578283031,73,-0.6,73.08,84.33,12.73
22,Hobart,20,AU,1578283032,49,-42.88,147.33,78.01,18.34
23,Qaanaaq,74,GL,1578283033,51,77.48,-69.36,-25.26,2.95
24,Marsaxlokk,0,MT,1578283034,49,35.84,14.54,51.01,12.75
25,Vaini,75,IN,1578283035,83,15.34,74.49,69.8,5.82
26,San Quintin,0,PH,1578283036,53,17.54,120.52,83.32,5.12
27,Oxapampa,100,PE,1578282939,98,-10.58,-75.4,55.94,2.26
28,Pevek,0,RU,1578283039,80,69.7,170.27,-7.29,3.85
29,Port Elizabeth,40,US,1578283040,80,39.31,-74.98,37.4,4.94
30,Katsuura,75,JP,1578283041,49,33.93,134.5,53.01,11.41
31,Arlit,27,NE,1578283042,29,18.74,7.39,54.77,9.26
32,Birao,35,CF,1578283043,25,10.3,22.78,61.48,11.79
33,Port Alfred,99,ZA,1578282867,94,-33.59,26.89,68,3.13
34,Muriae,74,BR,1578282797,93,-21.13,-42.37,73,4.18
35,Cockburn Town,2,TC,1578282775,68,21.46,-71.14,77.47,8.16
36,Dikson,100,RU,1578283047,94,73.51,80.55,17.19,16.11
37,Saint-Philippe,1,CA,1578283048,66,45.36,-73.48,19.99,3.36
38,Cape Town,20,ZA,1578282766,72,-33.93,18.42,63,6.93
39,Bethel,1,US,1578283051,68,60.79,-161.76,-16.6,8.05
40,Georgetown,0,GY,1578282888,94,6.8,-58.16,68,2.24
41,Hermanus,100,ZA,1578283053,90,-34.42,19.24,63,1.01
42,Geraldton,90,CA,1578283054,85,49.72,-86.95,17.6,3.36
43,Bako,65,BF,1578283055,28,12.29,-0.73,63.03,9.33
44,Nanma,99,CN,1578283059,83,35.7,113.14,33.48,4.18
45,Olinda,90,AU,1578283060,87,-37.84,145.39,61,10.29
46,Longyearbyen,20,NO,1578283061,64,78.22,15.63,-0.4,14.99
47,Faanui,12,PF,1578283062,72,-16.48,-151.75,82.38,11.03
48,Terra Santa,28,BR,1578283063,72,-2.1,-56.49,78.24,2.33
49,Eureka,1,US,1578283064,87,40.8,-124.16,44.01,4.7
50,Staraya Poltavka,44,RU,1578283066,89,50.48,46.48,27.88,4.56
51,Aljezur,0,PT,1578283067,77,37.31,-8.8,52,8.72
52,Portland,1,US,1578282900,62,43.66,-70.25,24.01,10.78
53,Tiksi,3,RU,1578283069,86,71.64,128.87,-12.57,13.6
54,Potsdam,75,DE,1578283070,80,52.4,13.06,41,8.05
55,Zhangjiakou,50,CN,1578283071,76,40.77,114.88,19.42,7
56,Ust-Nera,100,RU,1578283072,100,64.57,143.24,-23.06,2.06
57,Srednekolymsk,28,RU,1578283073,84,67.46,153.71,-10.86,3.4
58,Taksimo,0,RU,1578283075,88,56.36,114.84,-3.41,1.05
59,Necochea,100,AR,1578282797,92,-38.55,-58.74,60.93,5.48
60,Ratnagiri,0,IN,1578283077,65,16.98,73.3,73.92,7.7
61,Puerto Escondido,0,MX,1578283078,79,15.86,-97.07,67.28,3.27
62,Cabedelo,75,BR,1578283079,83,-6.97,-34.84,78.8,4.7
63,San Carlos de Bariloche,40,AR,1578283080,57,-41.13,-71.31,48.2,21.92
64,Mangai,100,CD,1578283058,94,-4.07,19.59,70.14,1.16
65,Aswan,0,EG,1578283055,56,24.09,32.9,42.8,3.36
66,Leningradskiy,0,RU,1578283083,65,69.38,178.42,-9.13,3.71
67,Howell,90,US,1578283084,47,40.17,-74.19,37.4,12.75
68,Gao,0,ML,1578283086,22,16.28,-0.04,57.79,10.6
69,Russell,1,US,1578283087,47,38.9,-98.86,35.6,5.82
70,Lorengau,68,PG,1578283088,69,-2.02,147.27,85.35,8.57
71,Butaritari,100,KI,1578283089,75,3.07,172.79,85.01,17.43
72,Knysna,40,ZA,1578283090,93,-34.04,23.05,62.6,3.36
73,Bredasdorp,100,ZA,1578283094,68,-34.53,20.04,64.4,8.05
74,Albany,20,US,1578283095,68,42.65,-73.75,28,3.36
75,Codajas,78,BR,1578283096,75,-3.84,-62.06,78.51,2.06
76,Karratha,100,AU,1578282931,64,-20.74,116.85,87.49,6.98
77,Guarapari,40,BR,1578282927,94,-20.67,-40.5,78.8,6.93
78,Chokurdakh,16,RU,1578283100,100,70.62,147.9,-20.38,1.92
79,Norman Wells,5,CA,1578283101,73,65.28,-126.83,-36.4,4.14
80,Ukiah,1,US,1578283102,87,39.15,-123.21,48,3.74
81,Fortuna,75,US,1578283103,100,40.6,-124.16,44.01,6.93
82,Rapid Valley,90,US,1578283104,50,44.06,-103.15,30.99,4.7
83,Saskylakh,100,RU,1578283105,92,71.97,114.09,-16.62,16.02
84,Simplicio Mendes,100,BR,1578283106,81,-7.85,-41.91,73.67,2.06
85,Maracas,20,TT,1578283108,88,10.76,-61.44,73.99,8.81
86,Verkhnyaya Toyma,0,RU,1578283112,92,62.24,45,12.09,6.44
87,New Norfolk,20,AU,1578283113,49,-42.78,147.06,78.01,18.34
88,Saint-Joseph,0,FR,1578283114,86,43.56,6.97,48.99,5.82
89,Thompson,90,CA,1578283118,84,55.74,-97.86,6.8,8.05
90,Alfonsine,0,IT,1578283119,92,44.51,12.04,44.01,4.7
91,Hobyo,51,SO,1578283120,83,5.35,48.53,77.85,11.95
92,East London,20,ZA,1578283084,94,-33.02,27.91,68,3.36
93,Ilulissat,100,GL,1578283079,71,69.22,-51.1,8.6,12.75
94,Avarua,100,CK,1578283055,88,-21.21,-159.78,80.6,5.82
95,Talnakh,75,RU,1578283125,92,69.49,88.39,19.4,26.84
96,Sharkan,97,RU,1578283126,91,57.3,53.87,28.99,3
97,Vung Tau,0,VN,1578283127,55,10.35,107.08,83.41,7.47
98,Coos Bay,90,US,1578283013,93,43.37,-124.22,48,9.17
99,Castro,48,CL,1578283138,87,-42.48,-73.76,50,4.7
100,Ashqelon,0,IL,1578283139,57,31.67,34.57,51.8,10.29
101,Kondinskoye,88,RU,1578283140,95,59.65,67.41,14.88,8.84
102,Bubaque,0,GW,1578283141,43,11.28,-15.83,77.02,17.49
103,Barrow,100,AR,1578283054,89,-38.31,-60.23,61.7,7.25
104,Buala,47,SB,1578283120,70,-8.15,159.59,85.53,8.97
105,Luderitz,0,NA,1578283145,85,-26.65,15.16,62.92,20.76
106,Komsomolskiy,100,RU,1578283146,94,67.55,63.78,9.1,16.98
107,Yellowknife,5,CA,1578283147,75,62.45,-114.38,-18,8.05
108,Liverpool,90,GB,1578282858,81,53.41,-2.98,48.2,11.41
109,Kosh-Agach,35,RU,1578283149,94,49.99,88.66,-12.71,1.01
110,Cherskiy,1,RU,1578283150,63,68.75,161.3,-9.81,4.23
111,Torrevieja,0,ES,1578283151,100,37.98,-0.68,45,4.7
112,Dunedin,70,NZ,1578283153,52,-45.87,170.5,55,45.01
113,Liyang,90,CN,1578283154,82,31.42,119.48,55.99,4.47
114,Torbay,90,CA,1578283080,100,47.66,-52.73,32,32.21
115,Te Anau,60,NZ,1578282886,77,-45.41,167.72,43.54,11.92
116,Salekhard,2,RU,1578283157,82,66.54,66.62,13.95,13.62
117,Motygino,100,RU,1578283118,95,58.18,94.69,22.98,6.04
118,Mar del Plata,64,AR,1578283056,57,-46.43,-67.52,56.43,23.22
119,Severo-Kurilsk,99,RU,1578283160,91,50.68,156.12,26.65,8.43
120,Port Macquarie,90,AU,1578283161,61,-31.43,152.91,88,12.75
121,Tignere,99,CM,1578283163,33,7.37,12.65,61.9,1.74
122,Fairbanks,90,US,1578283055,67,64.84,-147.72,-20,2.15
123,Montepuez,100,MZ,1578283123,97,-13.13,39,71.33,2.44
124,Hambantota,20,LK,1578283166,88,6.12,81.12,82.4,10.29
125,Narsaq,100,GL,1578283167,78,60.91,-46.05,17.6,4.7
126,Faya,1,SA,1578283168,87,18.39,42.45,55.4,4.7
127,Ancud,0,CL,1578283095,87,-41.87,-73.83,50,4.7
128,Santa Cruz,96,BR,1578283170,84,-6.22,-36.02,74.23,5.79
129,Amapa,75,HN,1578283172,88,15.09,-87.97,68,1.86
130,Kapaa,75,US,1578283173,78,22.08,-159.32,80.6,18.34
131,Concordia,0,AR,1578283174,69,-31.4,-58.02,73.99,5.5
132,Munirabad,40,IN,1578283175,81,15.28,76.33,71.47,12.41
133,Saint George,75,GR,1578283074,38,39.45,22.34,42.8,12.75
134,Bonavista,100,CA,1578283177,96,48.65,-53.11,30.42,40.04
135,La Puebla del Rio,0,ES,1578283178,93,37.27,-6.06,46,4.7
136,Antofagasta,46,CL,1578282968,82,-23.65,-70.4,68,1.12
137,Marawi,7,PH,1578283180,78,8,124.29,82,7
138,Nikolskoye,75,RU,1578283182,79,59.7,30.79,27,8.95
139,Bogo,100,CM,1578283183,35,10.74,14.61,62.06,10.13
140,Clyde River,1,CA,1578283184,52,70.47,-68.59,-38.2,19.46
141,Taltal,0,CL,1578283054,80,-25.41,-70.49,61.41,1.39
142,Sal Rei,97,CV,1578283207,64,16.18,-22.92,68,17.22
143,Cordoba,0,AR,1578283208,34,-27.78,-67.24,86.94,5.12
144,Tuatapere,100,NZ,1578283209,87,-46.13,167.69,48.99,23
145,Salalah,75,OM,1578283211,78,17.01,54.1,75.2,4.7
146,Great Yarmouth,3,GB,1578283212,75,52.61,1.73,46.4,11.41
147,Aykhal,90,RU,1578283213,84,65.95,111.51,-0.4,6.71
148,Isangel,20,VU,1578283214,49,-19.55,169.27,89.6,14.99
149,Hualmay,60,PE,1578283215,77,-11.1,-77.61,68.94,2.66
150,Chimbote,98,PE,1578283216,74,-9.08,-78.59,71.82,5.26
151,San Patricio,0,PY,1578283217,53,-26.98,-56.83,78.6,8.46
152,Miles City,1,US,1578283218,58,46.41,-105.84,27,9.17
153,Tilichiki,83,RU,1578283220,70,60.47,166.1,-8.73,7.83
154,Sitka,0,US,1578283221,49,37.17,-99.65,37,6.64
155,Ban Phai,0,TH,1578283222,57,16.55,102.46,80.6,6.93
